[20140928-233035] playerlist = [name=04*o0oSuThai point=508 zige_point=380 route=9 level=97 totlewin=285 totlelose=159 weekwin=57 weeklose=32]
[20141005-233012] playerlist = [name=15*B52zDevil point=571 zige_point=100 route=9 level=98 totlewin=360 totlelose=166 weekwin=44 weeklose=11]
[20141012-233018] playerlist = [name=03*AEzApplEzCZ point=544 zige_point=200 route=21 level=98 totlewin=253 totlelose=105 weekwin=33 weeklose=8]
[20141019-233051] playerlist = [name=03*AEzApplEzCZ point=552 zige_point=300 route=21 level=98 totlewin=276 totlelose=110 weekwin=22 weeklose=5]
[20141026-233011] playerlist = [name=33*iCycloner point=586 zige_point=400 route=21 level=99 totlewin=234 totlelose=57 weekwin=36 weeklose=3]
[20141102-233007] playerlist = [name=09*zApplEzCZ point=537 zige_point=100 route=21 level=98 totlewin=338 totlelose=123 weekwin=23 weeklose=2]
[20141109-233100] playerlist = [name=22*zCZzCoolMan point=535 zige_point=200 route=21 level=98 totlewin=381 totlelose=138 weekwin=42 weeklose=15]
[20141116-233008] playerlist = [name=22*zzSadForever point=534 zige_point=300 route=14 level=99 totlewin=540 totlelose=285 weekwin=38 weeklose=11]
[20141123-233007] playerlist = [name=01*Cycloner point=538 zige_point=400 route=21 level=99 totlewin=351 totlelose=69 weekwin=36 weeklose=4]
