20240624-223229	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20240624-223417	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_L_UHS]			0		1783435142	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	103	20752	360	693572434	2024-06-24 22:34:17	947000239	949816131	27136674	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	101	20752	360	-1144590789	2024-06-24 22:34:17	946999558	949816154	27203320	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	100	20752	360	-767504616	2024-06-24 22:34:17	947000020	949815339	27269116	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	102	10840	100	-546363399	2024-06-24 22:34:17	946999766	949947104	27398148	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	102	10904	100	-2031603666	2024-06-24 22:34:17	946999512	949948316	27339591	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	102	10968	100	-1050444473	2024-06-24 22:34:17	946999806	949947686	27003033	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	102	11032	100	-461418476	2024-06-24 22:34:17	947001183	949947288	27068589	15	-1	-1	-1
20240624-223417	ItemAdd	1783435142	kan	Jx2iiTieuKan	799		1	200	1380	2906			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	0	20752	300	1130014117	2024-06-24 22:34:17	951322991	951520252	949293104	15	-1	-1	-1
20240624-223625	ItemPickUp	Player.PickItem	kan	Jx2iiTieuKan	799		1	205	1606	2894			0		0	0	0	0	§u«i thá	2	1	2	1	-899380322	2024-06-24 22:36:22	0	0	0	0	2	2	2
20240624-223627	ItemPickUp	Player.PickItem	kan	Jx2iiTieuKan	799		2	205	1597	2895			0		0	0	0	0	§u«i thá	2	1	2	2	-899380322	2024-06-24 22:36:22	0	0	0	0	2	2	2
20240624-223628	ItemPickUp	Player.PickItem	kan	Jx2iiTieuKan	799		3	205	1593	2893			0		0	0	0	0	§u«i thá	2	1	2	3	-899380322	2024-06-24 22:36:22	0	0	0	0	2	2	2
