20240624-220743	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20240624-221018	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20240624-221018	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1374	2898			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	1544730135	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221018	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1374	2898			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-1901498951	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221018	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1374	2898			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	819903477	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221018	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1374	2898			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-1498004217	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	GM Item	2	1	30644	1	2108767700	2024-06-24 21:45:20	1073676288	1073676288	1073676288	0	2	0	0
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	1544730135	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	2	1	0
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-1901498951	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	2	2	0
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	819903477	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	2	3	0
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-1498004217	2024-06-24 22:10:18	1073676288	1073676288	1073676288	0	2	4	0
20240624-221553	ItemConsume	ClearItemInPos	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	HiÖp ThiÕu kiÕm	0	2	14	70	0	1970-01-01 08:00:00	0	0	0	0	2	1	3
20240624-221553	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|ClearBagAllItem]			0		1216436836	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20240624-221553	ItemAdd	1216436836	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	GM Item	2	1	30644	1	1415756486	2024-06-24 22:15:53	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221604	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-460477055	2024-06-24 22:16:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221604	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-1310587917	2024-06-24 22:16:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221604	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	-1587097457	2024-06-24 22:16:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-221604	ItemAdd	2471460818	kan	Jx2iiTieuKan	799		1	200	1376	2899			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	677979633	2024-06-24 22:16:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20240624-222147	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	1405140630	2024-06-24 22:21:47	0	0	0	0	2	0	1
20240624-222148	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-480902023	2024-06-24 22:21:48	0	0	0	0	2	1	1
20240624-222148	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	715347824	2024-06-24 22:21:48	0	0	0	0	2	2	1
20240624-222148	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	524172459	2024-06-24 22:21:48	0	0	0	0	2	3	1
20240624-222149	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	1952485018	2024-06-24 22:21:49	0	0	0	0	2	4	1
20240624-222149	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	2137931757	2024-06-24 22:21:49	0	0	0	0	2	0	2
20240624-222149	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	1647096468	2024-06-24 22:21:49	0	0	0	0	2	1	2
20240624-222150	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-426847553	2024-06-24 22:21:50	0	0	0	0	2	2	2
20240624-222150	ItemConsume	ExpendIdx	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	1405140630	2024-06-24 22:21:47	0	0	0	0	2	0	1
20240624-222150	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	1091986910	2024-06-24 22:21:50	0	0	0	0	2	0	1
20240624-222151	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-1450492511	2024-06-24 22:21:51	0	0	0	0	2	3	2
20240624-222151	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-1941946632	2024-06-24 22:21:51	0	0	0	0	2	4	2
20240624-222151	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	663776531	2024-06-24 22:21:51	0	0	0	0	2	0	3
20240624-222152	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-950048670	2024-06-24 22:21:52	0	0	0	0	2	1	3
20240624-222152	ItemConsume	ExpendIdx	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	2137931757	2024-06-24 22:21:49	0	0	0	0	2	0	2
20240624-222152	ItemAdd	IBShop	kan	Jx2iiTieuKan	799		1	200	1376	2896			0		0	0	0	0	Qu©n C«ng bµi	2	1	9997	1	-677572203	2024-06-24 22:21:52	0	0	0	0	2	0	2
