route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
0	1	17*NTTUniversity	275	100	0	32	17	4	6
0	2	16*NguoiLaMat	186	90	0	61	58	4	6
2	1	02*oTuyetKjeuPhong	409	290	96	136	80	12	7
2	2	07*ooMasterYi	403	280	99	105	65	17	11
2	3	02*VNoFirstLove	390	275	95	168	116	21	13
2	4	16*xxXxxNhjcKxxXxx	418	270	95	161	119	24	15
2	5	35*iiiiiiHoLy	406	260	96	116	58	14	7
2	6	16*xxRayleighxx	387	260	99	288	236	68	60
2	7	39*TrocTLD	380	255	96	109	63	12	8
2	8	02*ZIiTransformer	390	250	99	63	33	16	11
2	9	19*zTSzSoiStyle1st	389	240	96	94	59	9	5
2	10	07*RatLaTuyetVoi	380	225	96	84	54	8	1
2	11	63*oALPHAandOMEGAo	162	200	93	14	29	3	9
2	12	50*¢uD­¬ngTiªnSinh	342	200	96	71	39	6	3
2	13	90*oTiÓutöoLúo	347	200	99	169	134	45	41
2	14	33*ChuonChuonChua	366	200	98	67	35	9	3
2	15	04*G4meOver	329	200	95	82	54	4	5
2	16	01*zZ4jZ4jn3v3rCrY	291	200	96	60	56	7	3
2	17	43*oOThangBOzz	286	200	99	57	39	8	10
2	18	91*1RauMuèng1	281	200	93	64	49	5	5
2	19	35*TLDzOnePiece	282	200	99	35	25	6	3
2	20	68*ChÆtThÞtHeo	284	200	99	80	66	17	16
2	21	10*SkyRunner	288	200	99	123	108	12	9
2	22	24*Tomahawk	281	200	97	33	25	4	5
2	23	09*Jx2iNgoaLong	341	200	94	101	62	15	14
2	24	70*nhovaem	291	200	95	91	78	11	9
2	25	89*zFMzTrongDKz	333	200	95	80	46	4	5
2	26	15*oOoMaDaoZzZ	311	190	96	107	87	20	20
2	27	03*oTuyetVanPhong	406	190	96	123	73	31	25
2	28	15*ZzZo0oXxX	322	190	99	65	50	5	4
2	29	08*DavidHËu	311	185	99	65	45	4	5
2	30	33*iiiThuongBinh	238	180	99	65	61	2	7
2	31	90*Manchesterrr	213	180	99	40	36	2	7
2	32	08*TheSilentOfLove	349	180	94	64	44	7	4
2	33	03*1PMrMapLaoDai	366	180	98	136	100	38	31
2	34	24*ZoZNghiaHeRoZoZ	241	180	96	47	46	11	12
2	35	39*o0KjmTheDuy0o	315	180	99	57	42	16	15
2	36	11*TµnChÝQu¸i§ao	122	180	95	10	42	2	9
2	37	07*o0oVuaDauBepo0o	364	175	97	32	10	7	4
2	38	16*iiiiiNeverDie	370	175	96	101	51	19	12
2	39	09*QuyDuHaTien	309	175	99	72	56	5	4
2	40	50*iiiCrazyBody	122	175	99	13	32	1	9
2	41	90*TªnR¬iVµo§Çu	231	170	98	15	14	4	5
2	42	02*zHanVuongz	340	170	99	102	70	14	12
2	43	07*Truy3nThuy3tTLD	322	170	95	72	45	5	4
2	44	09*1stSpring	298	165	99	76	65	6	6
2	45	16*ZzDkmPro120zZ	355	160	99	108	79	6	3
2	46	02*ductien1011dx	304	160	98	158	137	18	16
2	47	90*badaosv1	137	160	99	90	113	24	33
2	48	07*AcQuyCuongDao	266	150	98	50	37	3	6
2	49	09*hoangkilong	268	150	99	155	141	5	7
2	50	09*SilentLong	285	150	99	36	25	6	3
2	51	16*tryndamere	283	140	93	34	23	5	4
2	52	07*TenoScorpioHero	255	135	99	28	26	6	3
2	53	16*oS2oTron	312	135	99	43	33	5	4
2	54	16*IsAceIsOneIsPice	290	130	96	93	83	17	16
2	55	16*ZxKhëiV¹nZx	218	115	99	62	66	3	6
2	56	19*z§åThÇnKinh	335	100	95	69	49	5	4
2	57	08*TTPGiangNhatLam	376	100	96	444	374	43	36
2	58	20*DongHiep	291	100	99	61	51	6	3
2	59	11*s2oPhi§ao	243	100	91	21	16	12	13
2	60	26*BanhQuy	343	100	95	23	6	9	2
2	61	32*xTayMonDaiKax	236	100	97	89	84	18	19
2	62	13*GiangHoTjeuTu	286	100	97	34	24	6	3
2	63	06*ZoHoaV«KhuyÕtoZ	130	100	99	39	45	6	23
2	64	01*ThÇn§aoC¸ChÐp	294	90	92	24	13	16	9
2	65	22*oHoaVinho	324	90	99	62	43	14	7
2	66	25*HLxS2oIoVuaPk	233	90	98	56	50	4	5
2	67	01*ICaChepI	232	90	90	9	10	6	3
2	68	39*iMrLonely	238	85	96	41	36	6	3
2	69	07*ZHarryPotter	278	85	96	45	33	28	30
2	70	50*iS2ComBoS2i	216	85	98	54	55	54	55
2	71	08*DavidHau2828	307	80	99	56	44	5	4
2	72	07*oOoBDKuTaioOo	285	75	99	14	6	6	3
2	73	07*zIS2IzCrazyPanda	167	65	92	12	18	3	6
2	74	22*zFMzTrongDK	387	60	95	61	35	28	20
2	75	90*§åLong§ao	262	0	99	70	61	18	13
2	76	15*IxS2xINhøcN¸ch	241	0	98	57	49	5	4
2	77	25*NeverBetting	299	0	97	57	28	4	5
2	78	43*ChemGiokr	352	0	94	49	28	29	21
2	79	02*FJbristleback	254	0	99	18	10	18	10
2	80	03*IzoPigUNu	309	0	96	44	27	6	3
2	81	89*NamCungLinhPhong	307	0	99	29	15	12	10
2	82	12*zIzHoangKaKazIz	306	0	96	19	6	19	6
2	83	08*69XÕpH×nh	300	0	92	22	10	19	9
