20200104-131305	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200104-131429	large_str	AddItem[/script/≤ÿΩ£…Ω◊Ø/task_script/œÂ—Ù/≤ÿΩ£ π’ﬂ.lua|main]			0		3182628274	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200104-131429	ItemAdd	3182628274	thuong	EopiThuong	799		1	350	1386	2842			0		0	0	0	0	Tµng Ki’m Ch›	2	0	333	1	-308852880	2020-01-04 13:14:29	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131504	ItemAdd	3182628274	thuong2	Demo123	799		1	350	1394	2854			0		0	0	0	0	Tµng Ki’m Ch›	2	0	333	1	1444540397	2020-01-04 13:15:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131540	ItemAdd	IBShop	thuong2	Demo123	799		1	350	1398	2850			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	1968572960	2020-01-04 13:15:40	0	0	0	0	2	3	1
20200104-131542	ItemConsume	ExpendIdx	thuong2	Demo123	799		1	350	1398	2850			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	1968572960	2020-01-04 13:15:40	0	0	0	0	2	3	1
20200104-131542	large_str	AddItem[/script/item/item_billing/dayinpiao.lua|OnUse]			0		3489957309	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200104-131542	ItemAdd	3489957309	thuong2	Demo123	799		100	350	1398	2850			0		0	0	0	0	Xu	2	1	30230	100	1979241950	2020-01-04 13:15:42	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131545	ItemConsume	ExpendIdx	thuong2	Demo123	799		20	350	1398	2850			0		0	0	0	0	Xu	2	1	30230	80	1979241950	2020-01-04 13:15:42	1073676288	1073676288	1073676288	0	2	3	1
20200104-131545	large_str	AddItem[/script/≤ÿΩ£…Ω◊Ø/task_script/œÂ—Ù/≤ÿΩ£ π’ﬂ.lua|GS_ChangeAHL]			0		703742479	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200104-131545	ItemAdd	703742479	thuong2	Demo123	799		1	350	1398	2850			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-1918591725	2020-01-04 13:15:45	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131607	ItemConsume	ExpendIdx	thuong2	Demo123	799		20	350	1398	2850			0		0	0	0	0	Xu	2	1	30230	60	1979241950	2020-01-04 13:15:42	1073676288	1073676288	1073676288	0	2	3	1
20200104-131607	ItemAdd	703742479	thuong2	Demo123	799		1	350	1398	2850			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-1739608295	2020-01-04 13:16:07	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131612	ItemConsume	ExpendIdx	thuong2	Demo123	799		1	350	1396	2852			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-1918591725	2020-01-04 13:15:45	1073676288	1073676288	1073676288	0	2	4	1
