20200104-131738	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200104-131916	ItemAdd	IBShop	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	2015454875	2020-01-04 13:19:16	0	0	0	0	2	2	1
20200104-131919	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	2015454875	2020-01-04 13:19:16	0	0	0	0	2	2	1
20200104-131919	large_str	AddItem[/script/item/item_billing/dayinpiao.lua|OnUse]			0		3489957309	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200104-131919	ItemAdd	3489957309	thuong	EopiThuong	799		100	350	1397	2851			0		0	0	0	0	Xu	2	1	30230	100	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131935	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1397	2851			0		0	0	0	0	Xu	2	1	30230	80	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	2	2	1
20200104-131935	large_str	AddItem[/script/≤ÿΩ£…Ω◊Ø/task_script/œÂ—Ù/≤ÿΩ£ π’ﬂ.lua|GS_ChangeAHL]			0		703742479	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200104-131935	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-294333194	2020-01-04 13:19:35	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131937	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1397	2851			0		0	0	0	0	Xu	2	1	30230	60	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	2	2	1
20200104-131937	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-101056593	2020-01-04 13:19:37	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131940	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-294333194	2020-01-04 13:19:35	1073676288	1073676288	1073676288	0	2	3	1
20200104-131940	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1397	2851			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-101056593	2020-01-04 13:19:37	1073676288	1073676288	1073676288	0	2	4	1
20200104-131952	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1391	2847			0		0	0	0	0	Xu	2	1	30230	40	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	2	2	1
20200104-131952	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1391	2847			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	638543377	2020-01-04 13:19:52	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131955	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1391	2847			0		0	0	0	0	Xu	2	1	30230	20	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	2	2	1
20200104-131955	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1391	2847			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	1887099538	2020-01-04 13:19:55	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-131959	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1391	2847			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	638543377	2020-01-04 13:19:52	1073676288	1073676288	1073676288	0	2	3	1
20200104-131959	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1391	2847			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	1887099538	2020-01-04 13:19:55	1073676288	1073676288	1073676288	0	2	4	1
20200104-132333	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	20	1922217377	2020-01-04 13:19:19	1073676288	1073676288	1073676288	0	2	2	1
20200104-132333	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-233749865	2020-01-04 13:23:33	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132340	ItemAdd	IBShop	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	-880886215	2020-01-04 13:23:40	0	0	0	0	2	3	1
20200104-132340	ItemAdd	IBShop	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	313864752	2020-01-04 13:23:40	0	0	0	0	2	4	1
20200104-132340	ItemAdd	IBShop	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	-79981461	2020-01-04 13:23:40	0	0	0	0	2	0	2
20200104-132342	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	-880886215	2020-01-04 13:23:40	0	0	0	0	2	3	1
20200104-132342	ItemAdd	3489957309	thuong	EopiThuong	799		100	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	100	1342542577	2020-01-04 13:23:42	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132344	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	-79981461	2020-01-04 13:23:40	0	0	0	0	2	0	2
20200104-132344	ItemAdd	3489957309	thuong	EopiThuong	799		100	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	100	379652850	2020-01-04 13:23:44	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132346	ItemConsume	ExpendIdx	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	ßπi ng©n phi’u	2	1	199	1	313864752	2020-01-04 13:23:40	0	0	0	0	2	4	1
20200104-132346	ItemAdd	3489957309	thuong	EopiThuong	799		100	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	100	344707512	2020-01-04 13:23:46	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132349	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	280	1342542577	2020-01-04 13:23:42	1073676288	1073676288	1073676288	0	2	3	1
20200104-132349	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	-940345575	2020-01-04 13:23:49	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132350	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1396	2849			0		0	0	0	0	Xu	2	1	30230	260	1342542577	2020-01-04 13:23:42	1073676288	1073676288	1073676288	0	2	3	1
20200104-132350	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1396	2849			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	916094027	2020-01-04 13:23:50	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132353	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1395	2853			0		0	0	0	0	Xu	2	1	30230	240	1342542577	2020-01-04 13:23:42	1073676288	1073676288	1073676288	0	2	3	1
20200104-132353	ItemAdd	703742479	thuong	EopiThuong	799		1	350	1395	2853			0		0	0	0	0	Tµng Ki’m anh hÔng t	2	0	31	1	619934861	2020-01-04 13:23:53	1073676288	1073676288	1073676288	0	-1	-1	-1
20200104-132355	ItemConsume	ExpendIdx	thuong	EopiThuong	799		20	350	1397	2850			0		0	0	0	0	Xu	2	1	30230	220	1342542577	2020-01-04 13:23:42	1073676288	1073676288	1073676288	0	2	3	1
