20200206-002839	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200206-003020	MoneyPay	PrePay	an	ioNaruto	799		1500	200	1267	2721			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200206-003106	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|getJingMaiTongRen]			0		1640752519	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200206-003106	ItemAdd	1640752519	an	ioNaruto	799		100	502	1677	3116			0		0	0	0	0	Kinh M¹ch §ång Nh©n	2	1	30730	100	687442385	2020-02-06 00:31:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003106	ItemAdd	1640752519	an	ioNaruto	799		100	502	1677	3116			0		0	0	0	0	Kinh M¹ch §ång Nh©n	2	1	30730	100	2083204434	2020-02-06 00:31:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003247	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200206-003247	ItemAdd	2471460818	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	446058986	2020-02-06 00:32:47	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003247	ItemAdd	2471460818	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-1590250986	2020-02-06 00:32:47	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003247	ItemAdd	2471460818	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-674677205	2020-02-06 00:32:47	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003247	ItemAdd	2471460818	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	1562552134	2020-02-06 00:32:47	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003247	large_str	AddItem[/script/misc/observer/observer.lua|NoFunc]			0		207423358	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200206-003247	ItemAdd	207423358	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	GM Item	2	1	30644	1	1139575871	2020-02-06 00:32:47	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003248	large_str	AddItem[/script/global/playerloginin.lua|_never_show_login_message]			0		1866858960	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200206-003248	ItemAdd	1866858960	an1	zzzzzzzz	1		1	300	1637	3551			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕ	2	1	30494	1	-818617567	2020-02-06 00:32:48	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003331	ItemAdd	2471460818	an1	zzzzzzzz	799		1	300	1641	3548			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-4829130	2020-02-06 00:33:31	1073676288	1073676288	1073676288	0	-1	-1	-1
20200206-003418	large_str	AddItem[/script/ÖÐÔ­¶þÇø/³É¶¼/npc/Ò°ÛÅ.lua|main]			0		757422198	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
