20200103-145019	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200103-145251	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_YaoYang_15]			0		2658419126	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3190	100	-63697979	2020-01-03 14:52:51	42285781	55250158	55191484	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3191	100	-954141462	2020-01-03 14:52:51	42483169	55249367	55191482	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3192	100	1274026419	2020-01-03 14:52:51	42614341	55250455	55191461	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3193	100	-1263676944	2020-01-03 14:52:51	42547714	55249256	55191310	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3194	100	1213545905	2020-01-03 14:52:51	42417373	55248980	55190360	0	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng-V« Cùc Th	0	100	3153	250	413358662	2020-01-03 14:52:51	852111101	55908704	42613232	15	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng-V« Cùc Th	0	101	3153	200	-1701807297	2020-01-03 14:52:51	852175671	852631427	42417650	15	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng-V« Cùc Th	0	103	3153	200	669972332	2020-01-03 14:52:51	18097770	852494639	42548540	15	-1	-1	-1
20200103-145251	ItemAdd	2658419126	thuong	EopiThuong	799	Buscu	1	200	1278	2762			0		0	0	0	0	DiÖu D­¬ng-V« Cùc Th	0	2	9000	300	1925323229	2020-01-03 14:52:51	55320977	42613819	55449778	15	-1	-1	-1
