20200103-141130	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200103-141221	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141221	ItemAdd	2471460818	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	709956166	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141221	ItemAdd	2471460818	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-626935630	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141221	ItemAdd	2471460818	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	512714523	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141221	ItemAdd	2471460818	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	170707255	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141221	large_str	AddItem[/script/misc/observer/observer.lua|NoFunc]			0		207423358	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141221	ItemAdd	207423358	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	EoPi Noriko	2	1	30644	1	-134172199	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141222	large_str	AddItem[/script/global/playerloginin.lua|_never_show_login_message]			0		1866858960	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141222	ItemAdd	1866858960	thuong	DemoDemo	1		1	300	1637	3551			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕ	2	1	30494	1	-909959925	2020-01-03 14:12:22	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141328	ItemAdd	2471460818	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	581454389	2020-01-03 14:13:28	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141349	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_YaoYang_15]			0		2658419126	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3190	100	1589292298	2020-01-03 14:13:49	42285661	55250361	55190617	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3191	100	2017782867	2020-01-03 14:13:49	42482722	55250720	55191321	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3192	100	-412339952	2020-01-03 14:13:49	42614378	55249173	55191137	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3193	100	-230948015	2020-01-03 14:13:49	42548011	55250892	55191227	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3194	100	-861935514	2020-01-03 14:13:49	42418026	55249609	55189534	0	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	100	3130	250	-764453921	2020-01-03 14:13:49	852111067	55908377	42614569	15	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	101	3130	200	208731276	2020-01-03 14:13:49	852176274	852631310	42417339	15	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	103	3130	200	-2066743939	2020-01-03 14:13:49	18096235	852495855	42482851	15	-1	-1	-1
20200103-141349	ItemAdd	2658419126	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	0	8993	300	-944231678	2020-01-03 14:13:49	55322600	42613275	55450483	15	-1	-1	-1
20200103-141402	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_NL_TMKL]			0		2626430420	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-827386965	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-285929747	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	143585502	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1405394440	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	1695802210	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1004840053	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-737067571	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	898361247	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1145937535	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141402	ItemAdd	2626430420	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	1780176883	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_NL_TCL]			0		2498391821	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	304864560	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-1968645647	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1094387071	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1880309420	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-70478666	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	826710859	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-215974988	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-179728386	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1222340531	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141414	ItemAdd	2498391821	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1247764789	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	S­ §å ThiÕp	2	1	587	1	709956166	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	2	0	0
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-626935630	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	2	1	0
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	512714523	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	2	2	0
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	170707255	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	2	3	0
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	EoPi Noriko	2	1	30644	1	-134172199	2020-01-03 14:12:21	1073676288	1073676288	1073676288	0	2	4	0
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	Tñ ¸o Thiªn BiÕn TiÕ	2	1	30494	1	-909959925	2020-01-03 14:12:22	1073676288	1073676288	1073676288	0	2	0	1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	581454389	2020-01-03 14:13:28	1073676288	1073676288	1073676288	0	2	1	1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3190	100	1589292298	2020-01-03 14:13:49	42285661	55250361	55190617	0	2	2	1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3191	100	2017782867	2020-01-03 14:13:49	42482722	55250720	55191321	0	2	3	1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3192	100	-412339952	2020-01-03 14:13:49	42614378	55249173	55191137	0	2	4	1
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3193	100	-230948015	2020-01-03 14:13:49	42548011	55250892	55191227	0	2	0	2
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng Thiªn Cun	0	102	3194	100	-861935514	2020-01-03 14:13:49	42418026	55249609	55189534	0	2	1	2
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	100	3130	250	-764453921	2020-01-03 14:13:49	852111067	55908377	42614569	15	2	2	2
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	101	3130	200	208731276	2020-01-03 14:13:49	852176274	852631310	42417339	15	2	3	2
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	103	3130	200	-2066743939	2020-01-03 14:13:49	18096235	852495855	42482851	15	2	4	2
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	DiÖu D­¬ng-§é KiÕp T	0	0	8993	300	-944231678	2020-01-03 14:13:49	55322600	42613275	55450483	15	2	0	3
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-827386965	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	1	3
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-285929747	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	2	3
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	143585502	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	3	3
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1405394440	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	4	3
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	1695802210	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	0	4
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1004840053	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	1	4
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-737067571	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	2	4
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	898361247	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	3	4
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	-1145937535	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	4	4
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn M«n Kim LÖnh	2	1	30370	10	1780176883	2020-01-03 14:14:02	1073676288	1073676288	1073676288	0	2	0	5
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	304864560	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	1	5
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-1968645647	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	2	5
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1094387071	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	3	5
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1880309420	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	4	5
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-70478666	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	0	6
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	826710859	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	1	6
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-215974988	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	2	6
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	-179728386	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	3	6
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1222340531	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	4	6
20200103-141434	ItemConsume	ClearItemInPos	thuong	DemoDemo	799		10	300	1636	3561			0		0	0	0	0	Thiªn Cang LÖnh	2	95	204	10	1247764789	2020-01-03 14:14:14	1073676288	1073676288	1073676288	0	2	0	7
20200103-141434	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|ClearBagAllItem]			0		1216436836	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141434	ItemAdd	1216436836	thuong	DemoDemo	799		1	300	1636	3561			0		0	0	0	0	EoPi Noriko	2	1	30644	1	-139295673	2020-01-03 14:14:34	1073676288	1073676288	1073676288	0	-1	-1	-1
20200103-141437	large_str	Pay[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_Money]			0		2936920919	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200103-141437	MoneyEarn	2936920919	thuong	DemoDemo	799		40000000	300	1636	3561			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
